,SalesPrice,Housing_Details,Broker,address
42,"C$3,218,000","5 bds6 ba3,408 sqft - House for sale","MLS® ID #R2866549, ROYAL PACIFIC REALTY CORP. BROKERAGE","4320 Frances St, Burnaby, BC V5C 2R3"
43,"C$3,688,000","6 bds5 ba2,836 sqft - House for sale","MLS® ID #R2866855, ANGELL, HASMAN & ASSOCIATES REALTY LTD. BROKERAGE","3410 W 15th Ave, Vancouver, BC V6R 2Z1"
44,"C$26,888,000","5 bds7 ba11,264 sqft - House for sale","MLS® ID #R2851195, SOTHEBY'S INTERNATIONAL REALTY CANADA BROKERAGE","5363 Kew Cliff Rd, West Vancouver, BC V7W 1M3"
45,"C$55,800,000","6 bds8 ba12,410 sqft - House for sale","MLS® ID #R2829500, LUXMORE REALTY BROKERAGE","4838 Belmont Ave, Vancouver, BC V6T 1A9"
46,"C$896,000","3 bds3 ba1,552 sqft - Townhouse for sale","MLS® ID #R2866843, CENTURY 21 COASTAL REALTY LTD. BROKERAGE","8257 121a St #16, Surrey, BC V3W 3R4"
47,"C$1,799,000","5 bds3 ba2,277 sqft - House for sale","MLS® ID #R2866406, SOTHEBY'S INTERNATIONAL REALTY CANADA BROKERAGE","5210 Sprott St, Burnaby, BC V5G 1T6"
48,"C$2,283,810","5 bds4 ba3,605 sqft - House for sale","MLS® ID #R2866721, QUALICO REALTY BROKERAGE","20812 34th Ave, Langley, BC V2Z 2C4"
49,"C$938,000","4 bds3 ba1,568 sqft - Townhouse for sale","MLS® ID #R2866947, RE/MAX CITY REALTY BROKERAGE","8473 163rd St #149, Surrey, BC V4N 6M7"
50,"C$21,800,000","4 bds8 ba10,206 sqft - House for sale","MLS® ID #R2852746, ANGELL, HASMAN & ASSOCIATES (MALCOLM HASMAN) REALTY LTD. BROKERAGE","2189 123rd St, Surrey, BC V4A 3L6"
51,"C$1,149,800","3 bds2 ba1,064 sqft - Townhouse for sale","MLS® ID #R2866822, METRO EDGE REALTY BROKERAGE","2689 Duke St, Vancouver, BC V5R 4S8"
52,"C$2,980,000","6 bds6 ba3,160 sqft - House for sale","MLS® ID #R2866234, RE/MAX CREST REALTY BROKERAGE","811 Lillooet St, Vancouver, BC V5K 4G8"
