,SalesPrice,Housing_Details,Broker,address
141,"C$8,990,000","4 bds5 ba7,761 sqft - House for sale","MLS® ID #R2822929, ENGEL & VOLKERS VANCOUVER BROKERAGE","1880 Marine Dr, Vancouver, BC V6P 1J6"
142,"C$8,850,000","5 bds8 ba8,633 sqft - House for sale","MLS® ID #R2859316, RE/MAX PERFORMANCE REALTY BROKERAGE","1440 184th St, Surrey, BC V3Z 9R9"
143,"C$2,588,800","4 bds2 ba2,425 sqft - House for sale","MLS® ID #R2866051, ROYAL LEPAGE WEST REAL ESTATE SERVICES BROKERAGE","20515 Powell Ave, Maple Ridge, BC V2X 4N3"
144,"C$999,999","3 bds2 ba1,305 sqft - House for sale","MLS® ID #R2865079, STONEHAUS REALTY CORP. BROKERAGE","20427 Kent St, Maple Ridge, BC V2X 1A8"
145,"C$649,000",1 bd1 ba538 sqft - Condo for sale,"MLS® ID #R2866340, SINCERE REAL ESTATE SERVICES BROKERAGE","2425 Alpha Ave #2404, Burnaby, BC V5C 5L2"
146,"C$799,900","2 bds2 ba1,203 sqft - House for sale","MLS® ID #R2865774, RE/MAX SELECT REALTY BROKERAGE","800 S Dyke Rd #1, New Westminster, BC V3M 4Z8"
147,"C$1,599,900","5 bds3 ba2,740 sqft - House for sale","MLS® ID #R2864117, RE/MAX TREELAND REALTY BROKERAGE","20431 42a Ave, Langley, BC V3A 3B6"
148,"C$17,800,000","10 bds12 ba16,245 sqft - House for sale","MLS® ID #R2832945, THE PARTNERS REAL ESTATE BROKERAGE","2929 Mathers Ave, West Vancouver, BC V7V 2J7"
149,"C$930,000",1 bd1 ba673 sqft - Condo for sale,"MLS® ID #R2866098, SUTTON GROUP-WEST COAST REALTY BROKERAGE","402 E 3rd St #313, North Vancouver, BC V7L 1G3"
150,"C$3,998,000","4 bds4 ba3,661 sqft - House for sale","MLS® ID #R2865566, ROYAL PACIFIC REALTY CORP. BROKERAGE","1907 Esquimalt Ave, West Vancouver, BC V7V 1S2"
151,"C$2,580,000","5 bds4 ba3,993 sqft - House for sale","MLS® ID #R2865983, MACDONALD REALTY WESTMAR BROKERAGE","6560 Albery Pl, Burnaby, BC V5E 4G2"
152,"C$1,208,000","4 bds3 ba1,628 sqft - House for sale","MLS® ID #R2864929, EXP REALTY BROKERAGE","974 Birchbrook Pl, Coquitlam, BC V3C 4B6"
153,"C$2,590,000","7 bds5 ba3,281 sqft - House for sale","MLS® ID #R2863952, ROYAL PACIFIC RIVERSIDE REALTY LTD. BROKERAGE","5604 Cornwall Dr, Richmond, BC V7C 5M8"
154,"C$889,000",2 bds2 ba736 sqft - Condo for sale,"MLS® ID #R2866282, REGENT PARK REALTY INC. BROKERAGE","4730 Lougheed Hwy #3111, Burnaby, BC V5C 0M9"
155,"C$499,900",2 bds1 ba840 sqft - Condo for sale,"MLS® ID #R2866419, ROYAL LEPAGE STERLING REALTY BROKERAGE","2036 Coquitlam Ave #301, Pt Coquitlam, BC V3B 1J5"
156,"C$575,000",1 bd1 ba786 sqft - Condo for sale,"MLS® ID #R2866354, RE/MAX SABRE REALTY GROUP BROKERAGE","1966 Coquitlam Ave #102, Pt Coquitlam, BC V3B 7P8"
157,"C$2,799,000","7 bds7 ba4,845 sqft - House for sale","MLS® ID #R2852276, THE PARTNERS REAL ESTATE BROKERAGE","2520 Lloyd Ave, North Vancouver, BC V7R 3X1"
158,"C$279,000",2 bds1 ba870 sqft - Condo for sale,"MLS® ID #R2850190, SUTTON GROUP - 1ST WEST REALTY BROKERAGE","7260 Lindsay Rd #306, Richmond, BC V7C 2P5"
159,"C$1,424,900","5 bds4 ba3,104 sqft - House for sale","MLS® ID #R2855060, ROYAL LEPAGE WESTGARD REALTY BROKERAGE","15288 36th Ave #69, Surrey, BC V3Z 0S6"
160,"C$3,198,000","2 bds2 ba1,752 sqft - Condo for sale","MLS® ID #R2866682, ROYAL LEPAGE WEST REAL ESTATE SERVICES BROKERAGE","12 Water St #603, Vancouver, BC V6B 1A5"
161,"C$9,680,000","9 bds10 ba9,490 sqft - House for sale","MLS® ID #R2833320, SUTTON GROUP-WEST COAST REALTY BROKERAGE","1188 Wolfe Ave, Vancouver, BC V6H 1V8"
162,"C$1,349,900","3 bds3 ba2,130 sqft - House for sale","MLS® ID #R2861260, HOMELIFE BENCHMARK REALTY (LANGLEY) CORP. BROKERAGE","20566 95a Ave, Langley, BC V1M 1H8"
163,"C$4,980,000","5 bds4 ba4,808 sqft - House for sale","MLS® ID #R2865735, SUTTON GROUP-WEST COAST REALTY BROKERAGE","2263 Mathers Ave, West Vancouver, BC V7V 2H4"
164,"C$1,099,000","4 bds4 ba1,676 sqft - Townhouse for sale","MLS® ID #R2863490, SUTTON GROUP - 1ST WEST REALTY BROKERAGE","8091 Williams Rd #3, Richmond, BC V7A 1G4"
165,"C$813,890",2 bds2 ba802 sqft - Condo for sale,"MLS® ID #R2865502, ROYAL LEPAGE GLOBAL FORCE REALTY BROKERAGE","10333 133rd St #2305, Surrey, BC V3T 3Y9"
166,"C$802,890",2 bds2 ba802 sqft - Condo for sale,"MLS® ID #R2865932, ROYAL LEPAGE GLOBAL FORCE REALTY BROKERAGE","10333 133rd St #1707, Surrey, BC V3T 3Y9"
167,"C$729,000","2 bds2 ba1,124 sqft - Townhouse for sale","MLS® ID #R2866404, RE/MAX WESTCOAST BROKERAGE","202 Laval St #66, Coquitlam, BC V3K 6X6"
168,"C$758,000",1 bd1 ba568 sqft - Condo for sale,"MLS® ID #R2866490, ROYAL PACIFIC REALTY CORP. BROKERAGE","4880 Lougheed Hwy #2005, Burnaby, BC V5C 3Y6"
169,"C$1,499,900","8 bds4 ba3,282 sqft - House for sale","MLS® ID #R2864329, RE/MAX PERFORMANCE REALTY BROKERAGE","14132 Sunridge Pl, Surrey, BC V3W 6B1"
170,"C$1,149,000","4 bds3 ba1,654 sqft - Townhouse for sale","MLS® ID #R2863963, JOVI REALTY INC. BROKERAGE","11391 7th Ave #10, Richmond, BC V7E 4J4"
171,"C$2,999,000","5 bds3 ba3,114 sqft - House for sale","MLS® ID #R2866131, RE/MAX SELECT PROPERTIES BROKERAGE","86 Stevens Dr, West Vancouver, BC V7S 1C2"
172,"C$1,699,000","5 bds5 ba2,524 sqft - House for sale","MLS® ID #R2863987, DRACCO PACIFIC REALTY BROKERAGE","7186 Railway Ave, Richmond, BC V7C 3K3"
173,"C$3,189,000","3 bds5 ba2,866 sqft - House for sale","MLS® ID #R2864053, AMEX BROADWAY WEST REALTY BROKERAGE","8535 Captains Cv, Vancouver, BC V6P 6S1"
174,"C$9,980,000","7 bds9 ba7,906 sqft - House for sale","MLS® ID #R2865371, RE/MAX CREST REALTY BROKERAGE","6771 Gamba Dr, Richmond, BC V7C 2G4"
175,"C$569,000",1 bd1 ba613 sqft - Condo for sale,"MLS® ID #R2866626, RE/MAX CREST REALTY BROKERAGE","7388 Macpherson Ave #51, Burnaby, BC V5J 0A1"
176,"C$3,388,000","8 bds6 ba7,338 sqft - House for sale","MLS® ID #R2865470, KIC REALTY INC BROKERAGE","11285 159b St, Surrey, BC V4N 1R6"
177,"C$999,000","3 bds3 ba1,798 sqft - House for sale","MLS® ID #R2865117, ROYAL LEPAGE WEST REAL ESTATE SERVICES BROKERAGE","21568 Ashbury Ct, Maple Ridge, BC V2X 8Z7"
178,"C$554,800",2 bds1 ba893 sqft - Condo for sale,"MLS® ID #R2866572, 88WEST REALTY BROKERAGE","3911 Carrigan Ct #317, Burnaby, BC V3N 4J7"
179,"C$1,107,900",2 bds2 ba831 sqft - Condo for sale,"MLS® ID #R2866678, RENNIE & ASSOCIATES REALTY LTD. BROKERAGE","6511 Sussex Ave #3504, Burnaby, BC V5H 3B1"
